Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR13060060_1										5.084695216509603	0.7783609686269832	9.644518668734344	4.795419300966241	18.16175593462961	0.0	55.67517595133007
SRR13060060_2										7.562924967195515	3.8619825838005486	14.615889299773352	8.016223309077896	10.932840271979005	0.0	37.853393773112245
SRR13060061_1										4.17104412477776	1.4819379343785357	2.798205915629546	3.3770405689348637	10.519031840956846	16.99531275254566	56.44496524971715
SRR13060061_2										6.8217633748181665	2.994181347987716	7.529901406174236	3.6154436722159367	13.41825602068854	22.602836592855986	31.832875383869403
SRR13060062_1										4.57323336072309	2.2314092029580936	13.92769104354971	10.84634346754314	12.084018077239113	48.19227608874281	0.0
SRR13060062_2										7.685394412489729	2.9580936729663105	21.916084634346756	5.721035332785538	11.159613804437141	33.99496713229252	0.0
SRR13060065_1										4.0429326908032674	0.9731827142723033	7.888725474856839	15.286165785273962	42.657320774791124	19.25086835435116	0.0
SRR13060065_2										7.797978533654598	3.1542385079951183	11.928528960791063	14.694746065024876	42.63228713583878	0.0	0.0
SRR13060066_1										4.196389891696751	1.5682310469314078	7.731407942238268	4.92418772563177	30.13140794223827	0.0	45.03971119133574
SRR13060066_2										6.821660649819494	4.71913357400722	12.791335740072201	9.253429602888087	16.531407942238268	0.0	33.123465703971114
SRR13060067_1										3.8378992551445523	1.3760888776669613	3.651054159828304	2.4062618356268146	26.34515843959096	55.982830450700675	0.0
SRR13060067_2										8.718596136851406	4.03736901906325	9.380128771619745	4.305011993435173	38.99507637924505	13.841686655725288	0.0
SRR13060068_1										4.519483193493591	2.1053173418438256	7.595099603644412	1.6008647758274566	28.246769959334944	14.104081947804604	35.75950996036445
SRR13060068_2										9.015802748751737	3.8683275853194012	11.27811808308025	1.9251557111236939	27.129767848870127	0.0	29.060071035157254
SRR13060069_1										4.090065405692063	2.2383772317482764	8.16908255258971	3.723263213717518	3.5067173413470036	0.0	74.68401979847977
SRR13060069_2										6.385893583171293	4.03261445996111	8.279565140533853	2.9410464910730068	10.422927346650168	0.0	54.973926109245184
